Router located at x=8980, y=1247 with reach=138ft
Router located at x=6415, y=3854 with reach=131ft
Router located at x=8797, y=7081 with reach=81ft
Router located at x=9619, y=9776 with reach=190ft
Router located at x=7206, y=8064 with reach=100ft
Router located at x=4206, y=2488 with reach=65ft
Router located at x=5002, y=5800 with reach=165ft
Router located at x=553, y=7411 with reach=180ft
Router located at x=5821, y=837 with reach=142ft
Router located at x=8492, y=4678 with reach=187ft
Router located at x=6810, y=5699 with reach=72ft
Router located at x=4022, y=5943 with reach=197ft
Router located at x=3970, y=4395 with reach=85ft
Router located at x=1894, y=6791 with reach=189ft
Router located at x=5903, y=5992 with reach=151ft
Router located at x=2655, y=1143 with reach=134ft
Router located at x=5827, y=6212 with reach=63ft
Router located at x=7971, y=6968 with reach=141ft
Router located at x=5839, y=1603 with reach=90ft
Router located at x=7782, y=1637 with reach=157ft
Router located at x=606, y=1975 with reach=114ft
Router located at x=9852, y=6879 with reach=120ft
Router located at x=4200, y=5701 with reach=62ft
Router located at x=6314, y=653 with reach=195ft
Router located at x=550, y=9926 with reach=128ft
Router located at x=6866, y=7432 with reach=83ft
Router located at x=2807, y=1551 with reach=74ft
Router located at x=4691, y=8683 with reach=146ft
Router located at x=1962, y=4973 with reach=104ft
Router located at x=7450, y=851 with reach=72ft
Router located at x=3458, y=1283 with reach=169ft
Router located at x=6636, y=5214 with reach=148ft
Router located at x=5088, y=2775 with reach=142ft
Router located at x=1785, y=9692 with reach=100ft
Router located at x=316, y=6954 with reach=196ft
Router located at x=9944, y=6307 with reach=57ft
Router located at x=158, y=3537 with reach=177ft
Router located at x=5744, y=465 with reach=87ft
Router located at x=1503, y=900 with reach=186ft
Router located at x=7007, y=2320 with reach=86ft
Router located at x=1888, y=5663 with reach=140ft
Router located at x=9568, y=7013 with reach=162ft
Router located at x=2446, y=9251 with reach=107ft
Router located at x=2028, y=4161 with reach=83ft
Router located at x=4538, y=9138 with reach=161ft
Router located at x=6515, y=3184 with reach=106ft
Router located at x=529, y=35 with reach=53ft
Router located at x=3199, y=2699 with reach=200ft
Router located at x=8021, y=2359 with reach=157ft
Router located at x=8023, y=399 with reach=87ft
Router located at x=1709, y=4670 with reach=61ft
Router located at x=766, y=9016 with reach=170ft
Router located at x=8716, y=4215 with reach=56ft
Router located at x=2230, y=2783 with reach=137ft
Router located at x=9009, y=6606 with reach=122ft
Router located at x=1248, y=9143 with reach=178ft
Router located at x=1720, y=373 with reach=105ft
Router located at x=9350, y=5339 with reach=112ft
Router located at x=2516, y=8448 with reach=184ft
Router located at x=1819, y=4342 with reach=92ft
Router located at x=644, y=2156 with reach=127ft
Router located at x=2184, y=8507 with reach=160ft
Router located at x=3975, y=7464 with reach=194ft
Router located at x=956, y=9062 with reach=108ft
Router located at x=2472, y=7081 with reach=101ft
Router located at x=5778, y=8801 with reach=101ft
Router located at x=5417, y=9823 with reach=106ft
Router located at x=3881, y=8759 with reach=110ft
Router located at x=9434, y=5792 with reach=96ft
Router located at x=3626, y=2635 with reach=199ft
Router located at x=9424, y=4677 with reach=193ft
Router located at x=3136, y=6968 with reach=190ft
Router located at x=5417, y=9173 with reach=75ft
Router located at x=3262, y=8472 with reach=98ft
Router located at x=2037, y=9966 with reach=149ft
Router located at x=580, y=9440 with reach=96ft
Router located at x=8185, y=6418 with reach=113ft
Router located at x=1320, y=450 with reach=172ft
Router located at x=6795, y=4088 with reach=181ft
Router located at x=215, y=3634 with reach=80ft
Router located at x=6124, y=7958 with reach=174ft
Router located at x=5482, y=3368 with reach=164ft
Router located at x=8929, y=6886 with reach=73ft
Router located at x=8312, y=6204 with reach=145ft
Router located at x=5152, y=9422 with reach=152ft
Router located at x=5074, y=4446 with reach=85ft
Router located at x=1610, y=3258 with reach=165ft
Router located at x=3750, y=123 with reach=104ft
Router located at x=5646, y=1017 with reach=117ft
Router located at x=284, y=992 with reach=56ft
Router located at x=5791, y=5879 with reach=188ft
Router located at x=7060, y=9458 with reach=185ft
Router located at x=4868, y=6040 with reach=95ft
Router located at x=9085, y=5141 with reach=93ft
Router located at x=3614, y=5329 with reach=105ft
Router located at x=7119, y=347 with reach=61ft
Router located at x=8763, y=4982 with reach=105ft
Router located at x=5454, y=4981 with reach=81ft
Router located at x=5773, y=2031 with reach=84ft
Router located at x=2554, y=6751 with reach=163ft
Router located at x=3201, y=2796 with reach=188ft
Router located at x=5229, y=2600 with reach=148ft
Router located at x=380, y=5872 with reach=176ft
Router located at x=4119, y=2255 with reach=147ft
Router located at x=7046, y=8340 with reach=98ft
Router located at x=1089, y=1478 with reach=66ft
Router located at x=6641, y=9919 with reach=166ft
Router located at x=9400, y=2304 with reach=92ft
Router located at x=1995, y=3793 with reach=68ft
Router located at x=8964, y=6870 with reach=134ft
Router located at x=6352, y=5306 with reach=147ft
Router located at x=6862, y=6711 with reach=106ft
Router located at x=8720, y=1319 with reach=71ft
Router located at x=9249, y=9139 with reach=195ft
Router located at x=2323, y=5953 with reach=60ft
Router located at x=25, y=8273 with reach=95ft
Router located at x=3656, y=6659 with reach=62ft
Router located at x=1387, y=3455 with reach=197ft
Router located at x=3606, y=6422 with reach=200ft
Router located at x=9563, y=7511 with reach=115ft
Router located at x=6785, y=3355 with reach=76ft
Router located at x=8720, y=4673 with reach=98ft
Router located at x=9162, y=1156 with reach=148ft
Router located at x=3071, y=9416 with reach=117ft
Router located at x=4505, y=5575 with reach=50ft
Router located at x=7408, y=6774 with reach=148ft
Router located at x=6618, y=7113 with reach=161ft
Router located at x=7659, y=2968 with reach=123ft
Router located at x=6433, y=4567 with reach=166ft
Router located at x=9064, y=2715 with reach=174ft
Router located at x=8738, y=4196 with reach=152ft
Router located at x=2160, y=9786 with reach=181ft
Router located at x=2893, y=4677 with reach=120ft
Router located at x=4649, y=3641 with reach=95ft
Router located at x=2589, y=9998 with reach=117ft
Router located at x=3009, y=7789 with reach=72ft
Router located at x=9508, y=3450 with reach=68ft
Router located at x=6879, y=4189 with reach=168ft
Router located at x=9803, y=967 with reach=55ft
Router located at x=1445, y=4933 with reach=94ft
Router located at x=5085, y=7477 with reach=199ft
Router located at x=7868, y=9498 with reach=72ft
Router located at x=8927, y=3945 with reach=173ft
Router located at x=258, y=5452 with reach=95ft
Router located at x=3139, y=8027 with reach=98ft
Router located at x=4072, y=1082 with reach=118ft
Router located at x=3375, y=5742 with reach=93ft
Router located at x=3474, y=1498 with reach=132ft
Router located at x=4632, y=8603 with reach=165ft
Router located at x=8395, y=5832 with reach=126ft
Router located at x=5989, y=6394 with reach=144ft
Router located at x=2791, y=9918 with reach=185ft
Router located at x=9551, y=1153 with reach=141ft
Router located at x=8529, y=3501 with reach=93ft
Router located at x=6258, y=4601 with reach=170ft
Router located at x=2234, y=1725 with reach=137ft
Router located at x=5402, y=5898 with reach=196ft
Router located at x=8310, y=6776 with reach=155ft
Router located at x=720, y=6897 with reach=111ft
Router located at x=6885, y=7889 with reach=80ft
Router located at x=8907, y=6975 with reach=64ft
Router located at x=9023, y=3882 with reach=68ft
Router located at x=5574, y=5458 with reach=113ft
Router located at x=6094, y=939 with reach=141ft
Router located at x=9102, y=2459 with reach=148ft
Router located at x=7255, y=8765 with reach=166ft
Router located at x=2176, y=5952 with reach=53ft
Router located at x=2558, y=7621 with reach=56ft
Router located at x=6130, y=5623 with reach=70ft
Router located at x=2848, y=4510 with reach=52ft
Router located at x=2505, y=8467 with reach=58ft
Router located at x=563, y=1419 with reach=99ft
Router located at x=4681, y=6427 with reach=155ft
Router located at x=4804, y=9185 with reach=69ft
Router located at x=8641, y=1624 with reach=173ft
Router located at x=5332, y=5946 with reach=66ft
Router located at x=7876, y=1295 with reach=65ft
Router located at x=5940, y=6991 with reach=167ft
Router located at x=535, y=5641 with reach=171ft
Router located at x=2635, y=2481 with reach=109ft
Router located at x=8987, y=5453 with reach=181ft
Router located at x=4966, y=1306 with reach=124ft
Router located at x=3796, y=10000 with reach=83ft
Router located at x=6793, y=243 with reach=73ft
Router located at x=8647, y=606 with reach=94ft
Router located at x=4847, y=3584 with reach=184ft
Router located at x=3283, y=3778 with reach=85ft
Router located at x=2954, y=2815 with reach=156ft
Router located at x=1780, y=6996 with reach=172ft
Router located at x=5798, y=9273 with reach=158ft
Router located at x=5833, y=1745 with reach=69ft
Router located at x=2633, y=3248 with reach=136ft
Router located at x=2402, y=2375 with reach=148ft
Router located at x=3348, y=2480 with reach=139ft
Router located at x=8014, y=166 with reach=119ft
Router located at x=3364, y=8535 with reach=62ft
Router located at x=4016, y=3938 with reach=194ft
Router located at x=29, y=5877 with reach=198ft
Router located at x=9493, y=4288 with reach=78ft
Router located at x=1992, y=8110 with reach=157ft
Router located at x=8426, y=1781 with reach=133ft
Router located at x=4996, y=1530 with reach=162ft
Router located at x=2330, y=7406 with reach=161ft
Router located at x=821, y=3296 with reach=56ft
Router located at x=262, y=9891 with reach=118ft
Router located at x=8286, y=4381 with reach=168ft
Router located at x=8001, y=7937 with reach=112ft
Router located at x=3037, y=8568 with reach=72ft
Router located at x=5758, y=7654 with reach=122ft
Router located at x=2468, y=1326 with reach=194ft
Router located at x=3014, y=3507 with reach=175ft
Router located at x=7580, y=5098 with reach=191ft
Router located at x=5301, y=2899 with reach=60ft
Router located at x=3996, y=5568 with reach=52ft
Router located at x=9389, y=534 with reach=102ft
Router located at x=6248, y=2131 with reach=126ft
Router located at x=7266, y=9845 with reach=127ft
Router located at x=4561, y=5743 with reach=84ft
Router located at x=4569, y=4215 with reach=190ft
Router located at x=364, y=4457 with reach=151ft
Router located at x=1296, y=1366 with reach=90ft
Router located at x=4283, y=5786 with reach=197ft
Router located at x=3787, y=3271 with reach=139ft
Router located at x=4452, y=7811 with reach=96ft
Router located at x=4438, y=8383 with reach=66ft
Router located at x=6184, y=1186 with reach=63ft
Router located at x=579, y=9566 with reach=103ft
Router located at x=4462, y=9846 with reach=176ft
Router located at x=9226, y=6769 with reach=62ft
Router located at x=8271, y=70 with reach=75ft
Router located at x=8394, y=7961 with reach=80ft
Router located at x=6060, y=1833 with reach=159ft
Router located at x=8734, y=9974 with reach=76ft
Router located at x=2259, y=1956 with reach=66ft
Router located at x=5859, y=5825 with reach=75ft
Router located at x=8603, y=3358 with reach=70ft
Router located at x=5528, y=2478 with reach=77ft
Router located at x=9969, y=5857 with reach=148ft
Router located at x=4247, y=3954 with reach=68ft
Router located at x=3620, y=4895 with reach=98ft
Router located at x=2211, y=5663 with reach=183ft
Router located at x=7736, y=710 with reach=177ft
Router located at x=5175, y=8717 with reach=112ft
Router located at x=2398, y=6007 with reach=154ft
Router located at x=9577, y=6264 with reach=165ft
Router located at x=6839, y=129 with reach=125ft
Router located at x=3751, y=5839 with reach=199ft
Router located at x=9098, y=7657 with reach=200ft
Router located at x=2489, y=4356 with reach=50ft
Router located at x=8027, y=3308 with reach=140ft
Router located at x=7291, y=3789 with reach=117ft
Router located at x=1450, y=9813 with reach=143ft
Router located at x=1599, y=7331 with reach=178ft
Router located at x=1103, y=8273 with reach=181ft
Router located at x=9000, y=7643 with reach=99ft
Router located at x=7777, y=7121 with reach=113ft
Router located at x=5918, y=1410 with reach=190ft
Router located at x=7711, y=10000 with reach=116ft
Router located at x=4262, y=5796 with reach=157ft
Router located at x=4087, y=886 with reach=130ft
Router located at x=7678, y=352 with reach=76ft
Router located at x=270, y=8418 with reach=117ft
Router located at x=2291, y=7456 with reach=90ft
Router located at x=3400, y=7435 with reach=196ft
Router located at x=6557, y=7086 with reach=170ft
Router located at x=7443, y=6557 with reach=171ft
Router located at x=9995, y=4094 with reach=189ft
Router located at x=7764, y=6930 with reach=143ft
Router located at x=1710, y=3390 with reach=121ft
Router located at x=2598, y=7917 with reach=183ft
Router located at x=2651, y=1934 with reach=195ft
Router located at x=1698, y=7058 with reach=94ft
Router located at x=7994, y=4252 with reach=95ft
Router located at x=3736, y=7072 with reach=159ft
Router located at x=2624, y=2948 with reach=187ft
Router located at x=2732, y=6531 with reach=122ft
Router located at x=6116, y=1964 with reach=126ft
Router located at x=1187, y=6730 with reach=183ft
Router located at x=80, y=3997 with reach=101ft
Router located at x=1638, y=2133 with reach=66ft
Router located at x=26, y=3005 with reach=78ft
Router located at x=7295, y=5171 with reach=65ft
Router located at x=107, y=3494 with reach=111ft
Router located at x=3190, y=908 with reach=86ft
Router located at x=440, y=3420 with reach=198ft
Router located at x=7678, y=2653 with reach=168ft
Router located at x=3672, y=8445 with reach=126ft
Router located at x=8909, y=2979 with reach=192ft
Router located at x=9888, y=9841 with reach=83ft
Router located at x=926, y=4988 with reach=181ft
Router located at x=8825, y=7923 with reach=147ft
Router located at x=2694, y=9868 with reach=105ft
Router located at x=4524, y=1790 with reach=128ft
Router located at x=7859, y=9303 with reach=164ft
Router located at x=4753, y=7392 with reach=155ft
Router located at x=5240, y=643 with reach=116ft
Router located at x=8558, y=7131 with reach=168ft
Router located at x=3569, y=2904 with reach=51ft
Router located at x=1230, y=4286 with reach=132ft
Router located at x=3209, y=5826 with reach=183ft
Router located at x=8433, y=3537 with reach=120ft
Router located at x=5080, y=3212 with reach=95ft
Router located at x=9590, y=1606 with reach=161ft
Router located at x=852, y=9678 with reach=163ft
Router located at x=2614, y=9508 with reach=140ft
Router located at x=9460, y=4788 with reach=152ft
Router located at x=2660, y=7967 with reach=177ft
Router located at x=1550, y=3771 with reach=171ft
Router located at x=4316, y=4242 with reach=191ft
Router located at x=9302, y=7830 with reach=83ft
Router located at x=7032, y=6273 with reach=94ft
Router located at x=2084, y=6815 with reach=57ft
Router located at x=527, y=6636 with reach=84ft
Router located at x=8458, y=2502 with reach=195ft
Router located at x=9690, y=6373 with reach=158ft
Router located at x=5746, y=3013 with reach=108ft
Router located at x=5228, y=3564 with reach=51ft
Router located at x=2203, y=9391 with reach=193ft
Router located at x=9538, y=1466 with reach=51ft
Router located at x=913, y=9802 with reach=116ft
Router located at x=369, y=3323 with reach=72ft
Router located at x=6543, y=8911 with reach=129ft
Router located at x=9176, y=2374 with reach=177ft
Router located at x=7651, y=8425 with reach=159ft
Router located at x=1819, y=6868 with reach=156ft
Router located at x=7605, y=2688 with reach=119ft
Router located at x=6760, y=4147 with reach=117ft
Router located at x=6170, y=1094 with reach=153ft
Router located at x=3859, y=3124 with reach=191ft
Router located at x=2089, y=5085 with reach=164ft
Router located at x=7871, y=2413 with reach=191ft
Router located at x=1858, y=2094 with reach=131ft
Router located at x=1964, y=6372 with reach=182ft
Router located at x=5649, y=2536 with reach=66ft
Router located at x=6397, y=1296 with reach=139ft
Router located at x=4816, y=9782 with reach=121ft
Router located at x=2382, y=5133 with reach=161ft
Router located at x=977, y=9609 with reach=104ft
Router located at x=4940, y=5036 with reach=55ft
Router located at x=7733, y=2654 with reach=143ft
Router located at x=8919, y=8725 with reach=171ft
Router located at x=2793, y=1478 with reach=194ft
Router located at x=193, y=4809 with reach=118ft
Router located at x=5784, y=5075 with reach=131ft
Router located at x=7598, y=1212 with reach=92ft
Router located at x=4432, y=7479 with reach=156ft
Router located at x=5806, y=4627 with reach=73ft
Router located at x=9475, y=9124 with reach=71ft
Router located at x=5943, y=5621 with reach=129ft
Router located at x=8357, y=5152 with reach=176ft
Router located at x=242, y=5365 with reach=79ft
Router located at x=5232, y=7112 with reach=190ft
Router located at x=533, y=7442 with reach=66ft
Router located at x=3932, y=841 with reach=165ft
Router located at x=6508, y=8173 with reach=66ft
Router located at x=2783, y=2119 with reach=176ft
Router located at x=7986, y=5936 with reach=194ft
Router located at x=5145, y=5479 with reach=83ft
Router located at x=5205, y=3537 with reach=145ft
Router located at x=3875, y=3069 with reach=58ft
Router located at x=8301, y=6835 with reach=136ft
