Router located at x=6311, y=6890 with reach=60ft
Router located at x=7453, y=8974 with reach=136ft
Router located at x=2111, y=6819 with reach=115ft
Router located at x=6180, y=1286 with reach=194ft
Router located at x=8281, y=5498 with reach=109ft
Router located at x=7435, y=4070 with reach=139ft
Router located at x=7873, y=6722 with reach=56ft
Router located at x=7323, y=98 with reach=191ft
Router located at x=6633, y=7308 with reach=107ft
Router located at x=7036, y=3949 with reach=114ft
Router located at x=7818, y=7783 with reach=86ft
Router located at x=3739, y=7223 with reach=122ft
Router located at x=5897, y=7965 with reach=88ft
Router located at x=8558, y=1434 with reach=98ft
Router located at x=4913, y=8483 with reach=81ft
Router located at x=966, y=2541 with reach=137ft
Router located at x=601, y=5479 with reach=91ft
Router located at x=7677, y=6394 with reach=98ft
Router located at x=6741, y=8128 with reach=99ft
Router located at x=2744, y=6404 with reach=62ft
Router located at x=5553, y=8534 with reach=98ft
Router located at x=5374, y=3001 with reach=182ft
Router located at x=8892, y=9740 with reach=199ft
Router located at x=7111, y=2492 with reach=176ft
Router located at x=9350, y=3495 with reach=162ft
Router located at x=539, y=3980 with reach=174ft
Router located at x=9895, y=5204 with reach=192ft
Router located at x=3217, y=8 with reach=61ft
Router located at x=1020, y=2198 with reach=112ft
Router located at x=7261, y=9993 with reach=107ft
Router located at x=1786, y=8449 with reach=158ft
Router located at x=4692, y=5540 with reach=176ft
Router located at x=3148, y=2674 with reach=145ft
Router located at x=9131, y=5841 with reach=162ft
Router located at x=6403, y=7190 with reach=131ft
Router located at x=7677, y=1103 with reach=87ft
Router located at x=3600, y=1856 with reach=89ft
Router located at x=6456, y=7600 with reach=188ft
Router located at x=3440, y=6027 with reach=61ft
Router located at x=348, y=6654 with reach=103ft
Router located at x=1434, y=6755 with reach=199ft
Router located at x=9332, y=6740 with reach=188ft
Router located at x=3448, y=67 with reach=84ft
Router located at x=8697, y=8023 with reach=129ft
Router located at x=6228, y=8911 with reach=187ft
Router located at x=1082, y=1282 with reach=176ft
Router located at x=250, y=3341 with reach=157ft
Router located at x=5898, y=5113 with reach=71ft
Router located at x=380, y=3917 with reach=57ft
Router located at x=9632, y=8399 with reach=144ft
Router located at x=2512, y=7630 with reach=116ft
Router located at x=1805, y=9724 with reach=164ft
Router located at x=4562, y=3596 with reach=147ft
Router located at x=6292, y=8303 with reach=136ft
Router located at x=3740, y=9670 with reach=117ft
Router located at x=1457, y=721 with reach=89ft
Router located at x=5169, y=9571 with reach=194ft
Router located at x=7946, y=1037 with reach=184ft
Router located at x=7855, y=7122 with reach=131ft
Router located at x=6316, y=397 with reach=79ft
Router located at x=7114, y=9947 with reach=84ft
Router located at x=2322, y=509 with reach=80ft
Router located at x=7041, y=4061 with reach=58ft
Router located at x=4456, y=4328 with reach=148ft
Router located at x=1891, y=5633 with reach=124ft
Router located at x=6123, y=3105 with reach=188ft
Router located at x=8878, y=976 with reach=136ft
Router located at x=8444, y=9047 with reach=53ft
Router located at x=2644, y=8117 with reach=55ft
Router located at x=4224, y=5432 with reach=85ft
Router located at x=5636, y=1627 with reach=193ft
Router located at x=6842, y=1108 with reach=114ft
Router located at x=9347, y=1707 with reach=183ft
Router located at x=1230, y=9604 with reach=82ft
Router located at x=7950, y=567 with reach=183ft
Router located at x=3660, y=5690 with reach=74ft
Router located at x=9138, y=3554 with reach=95ft
Router located at x=3770, y=6537 with reach=101ft
Router located at x=9974, y=7192 with reach=139ft
Router located at x=2588, y=4410 with reach=139ft
Router located at x=8966, y=3289 with reach=105ft
Router located at x=7630, y=5140 with reach=82ft
Router located at x=4535, y=9193 with reach=50ft
Router located at x=1364, y=5375 with reach=128ft
Router located at x=5296, y=575 with reach=71ft
Router located at x=231, y=4790 with reach=79ft
Router located at x=2727, y=4510 with reach=101ft
Router located at x=8400, y=9087 with reach=138ft
Router located at x=7357, y=1456 with reach=156ft
Router located at x=8236, y=8714 with reach=154ft
Router located at x=2010, y=1316 with reach=168ft
Router located at x=5310, y=2853 with reach=125ft
Router located at x=3949, y=7159 with reach=123ft
Router located at x=513, y=375 with reach=52ft
Router located at x=4412, y=1248 with reach=130ft
Router located at x=5192, y=8975 with reach=123ft
Router located at x=793, y=4076 with reach=182ft
Router located at x=2294, y=4252 with reach=64ft
Router located at x=6367, y=6858 with reach=121ft
Router located at x=9542, y=3693 with reach=114ft
Router located at x=5124, y=8729 with reach=175ft
Router located at x=7353, y=2013 with reach=158ft
Router located at x=6135, y=2777 with reach=183ft
Router located at x=840, y=3784 with reach=172ft
Router located at x=6286, y=501 with reach=111ft
Router located at x=1328, y=5051 with reach=75ft
Router located at x=2992, y=2108 with reach=162ft
Router located at x=8609, y=6781 with reach=81ft
Router located at x=8639, y=4039 with reach=177ft
Router located at x=4615, y=4399 with reach=153ft
Router located at x=7069, y=7712 with reach=64ft
Router located at x=2690, y=8589 with reach=141ft
Router located at x=3317, y=4083 with reach=88ft
Router located at x=3625, y=4928 with reach=87ft
Router located at x=3052, y=9038 with reach=114ft
Router located at x=8915, y=446 with reach=96ft
Router located at x=3811, y=6838 with reach=90ft
Router located at x=3987, y=9174 with reach=82ft
Router located at x=9525, y=2752 with reach=113ft
Router located at x=8585, y=4905 with reach=55ft
Router located at x=7551, y=3273 with reach=65ft
Router located at x=6750, y=2749 with reach=147ft
Router located at x=8282, y=6355 with reach=104ft
Router located at x=6304, y=8736 with reach=184ft
Router located at x=8080, y=1688 with reach=82ft
Router located at x=1408, y=8729 with reach=52ft
Router located at x=1339, y=172 with reach=112ft
Router located at x=6485, y=7379 with reach=120ft
Router located at x=6757, y=5657 with reach=151ft
Router located at x=4231, y=1255 with reach=90ft
Router located at x=9601, y=3975 with reach=103ft
Router located at x=742, y=879 with reach=180ft
Router located at x=1098, y=7311 with reach=113ft
Router located at x=7382, y=2203 with reach=180ft
Router located at x=4737, y=221 with reach=87ft
Router located at x=5754, y=5865 with reach=143ft
Router located at x=4871, y=8220 with reach=114ft
Router located at x=2189, y=368 with reach=172ft
Router located at x=3270, y=9970 with reach=151ft
Router located at x=5560, y=7758 with reach=127ft
Router located at x=7215, y=2282 with reach=171ft
Router located at x=4848, y=5437 with reach=139ft
Router located at x=9881, y=6237 with reach=151ft
Router located at x=9482, y=6574 with reach=178ft
Router located at x=4880, y=9252 with reach=110ft
Router located at x=3093, y=7066 with reach=105ft
Router located at x=4344, y=8427 with reach=92ft
Router located at x=8350, y=2298 with reach=182ft
Router located at x=8711, y=8295 with reach=171ft
Router located at x=5598, y=4243 with reach=160ft
Router located at x=4942, y=7474 with reach=184ft
Router located at x=854, y=3183 with reach=115ft
Router located at x=7517, y=1126 with reach=54ft
Router located at x=3297, y=9784 with reach=76ft
Router located at x=4200, y=17 with reach=105ft
Router located at x=3031, y=2844 with reach=142ft
Router located at x=9984, y=4385 with reach=52ft
Router located at x=270, y=338 with reach=92ft
Router located at x=5085, y=3868 with reach=150ft
Router located at x=8188, y=5951 with reach=140ft
Router located at x=1438, y=9536 with reach=160ft
Router located at x=1889, y=405 with reach=94ft
Router located at x=233, y=9730 with reach=186ft
Router located at x=4465, y=5780 with reach=103ft
Router located at x=6290, y=3224 with reach=131ft
Router located at x=3022, y=2929 with reach=177ft
Router located at x=2476, y=9689 with reach=179ft
Router located at x=6679, y=9614 with reach=108ft
Router located at x=45, y=887 with reach=161ft
Router located at x=9903, y=513 with reach=84ft
Router located at x=8232, y=1396 with reach=157ft
Router located at x=5084, y=5435 with reach=98ft
Router located at x=1007, y=5556 with reach=85ft
Router located at x=5179, y=4495 with reach=174ft
Router located at x=7884, y=9977 with reach=134ft
Router located at x=4416, y=1276 with reach=167ft
Router located at x=2614, y=1764 with reach=181ft
Router located at x=4242, y=9157 with reach=153ft
Router located at x=9961, y=7336 with reach=157ft
Router located at x=2605, y=9952 with reach=157ft
Router located at x=2070, y=1841 with reach=199ft
Router located at x=1825, y=3047 with reach=173ft
Router located at x=4820, y=1638 with reach=158ft
Router located at x=4296, y=4524 with reach=78ft
Router located at x=5827, y=8340 with reach=187ft
Router located at x=1224, y=132 with reach=60ft
Router located at x=9958, y=242 with reach=85ft
Router located at x=2013, y=6686 with reach=148ft
Router located at x=7886, y=443 with reach=130ft
Router located at x=2300, y=1393 with reach=150ft
Router located at x=9489, y=3688 with reach=62ft
Router located at x=3428, y=6757 with reach=57ft
Router located at x=772, y=9815 with reach=152ft
Router located at x=2170, y=9179 with reach=126ft
Router located at x=6663, y=6630 with reach=189ft
Router located at x=897, y=7302 with reach=188ft
Router located at x=2382, y=9184 with reach=82ft
Router located at x=3396, y=9642 with reach=93ft
Router located at x=1462, y=9446 with reach=170ft
Router located at x=4715, y=4388 with reach=114ft
Router located at x=3467, y=6605 with reach=52ft
Router located at x=844, y=8576 with reach=67ft
Router located at x=168, y=4663 with reach=89ft
Router located at x=2307, y=8311 with reach=84ft
Router located at x=1876, y=5443 with reach=51ft
Router located at x=5297, y=2381 with reach=134ft
Router located at x=9475, y=1025 with reach=72ft
Router located at x=6111, y=3393 with reach=114ft
Router located at x=7390, y=5436 with reach=174ft
Router located at x=7709, y=8776 with reach=184ft
Router located at x=1382, y=1324 with reach=130ft
Router located at x=7188, y=6286 with reach=153ft
Router located at x=8883, y=7864 with reach=191ft
Router located at x=6977, y=8497 with reach=68ft
Router located at x=3593, y=2354 with reach=152ft
Router located at x=8379, y=5134 with reach=87ft
Router located at x=1154, y=2345 with reach=89ft
Router located at x=564, y=6292 with reach=194ft
Router located at x=1898, y=1115 with reach=184ft
Router located at x=4384, y=9261 with reach=127ft
Router located at x=5770, y=7814 with reach=152ft
Router located at x=9690, y=5229 with reach=169ft
Router located at x=8395, y=5656 with reach=109ft
Router located at x=8227, y=615 with reach=148ft
Router located at x=5996, y=5607 with reach=181ft
Router located at x=112, y=4092 with reach=197ft
Router located at x=1260, y=7787 with reach=78ft
Router located at x=6029, y=7130 with reach=112ft
Router located at x=8941, y=397 with reach=182ft
Router located at x=8319, y=1829 with reach=60ft
Router located at x=9337, y=5876 with reach=60ft
Router located at x=5992, y=2946 with reach=137ft
Router located at x=4411, y=7963 with reach=173ft
Router located at x=6866, y=21 with reach=110ft
Router located at x=7821, y=5640 with reach=91ft
Router located at x=715, y=7868 with reach=184ft
Router located at x=2701, y=6312 with reach=123ft
Router located at x=9507, y=7924 with reach=104ft
Router located at x=447, y=7442 with reach=94ft
Router located at x=7236, y=5165 with reach=198ft
Router located at x=5370, y=7044 with reach=195ft
Router located at x=2360, y=8395 with reach=159ft
Router located at x=6413, y=3886 with reach=144ft
Router located at x=6242, y=4836 with reach=111ft
Router located at x=3463, y=4176 with reach=111ft
Router located at x=8789, y=9619 with reach=145ft
Router located at x=7463, y=3902 with reach=136ft
Router located at x=2399, y=5276 with reach=112ft
Router located at x=2358, y=4205 with reach=190ft
Router located at x=2834, y=8790 with reach=79ft
Router located at x=7321, y=7861 with reach=102ft
Router located at x=2974, y=9835 with reach=141ft
Router located at x=9916, y=4080 with reach=72ft
Router located at x=8860, y=8138 with reach=103ft
Router located at x=4812, y=6384 with reach=119ft
Router located at x=8384, y=3310 with reach=140ft
Router located at x=6663, y=5166 with reach=55ft
Router located at x=709, y=3147 with reach=100ft
Router located at x=9894, y=2679 with reach=192ft
Router located at x=7509, y=1326 with reach=114ft
Router located at x=8216, y=4714 with reach=174ft
Router located at x=6877, y=5147 with reach=148ft
Router located at x=892, y=1884 with reach=65ft
Router located at x=4360, y=9155 with reach=162ft
Router located at x=5060, y=8977 with reach=156ft
Router located at x=7892, y=6143 with reach=106ft
Router located at x=1469, y=1313 with reach=73ft
Router located at x=8292, y=287 with reach=199ft
Router located at x=8406, y=5421 with reach=74ft
Router located at x=9232, y=3849 with reach=55ft
Router located at x=675, y=1564 with reach=129ft
Router located at x=1498, y=9635 with reach=150ft
Router located at x=2103, y=9433 with reach=185ft
Router located at x=3241, y=4550 with reach=125ft
Router located at x=2600, y=3009 with reach=107ft
Router located at x=2243, y=2131 with reach=108ft
Router located at x=4225, y=8126 with reach=127ft
Router located at x=2380, y=4445 with reach=102ft
Router located at x=1285, y=2233 with reach=154ft
Router located at x=2981, y=3258 with reach=200ft
Router located at x=281, y=5758 with reach=187ft
Router located at x=7860, y=2067 with reach=119ft
Router located at x=1336, y=4575 with reach=106ft
Router located at x=66, y=2349 with reach=103ft
Router located at x=9461, y=55 with reach=157ft
Router located at x=2083, y=2383 with reach=174ft
Router located at x=8823, y=672 with reach=178ft
Router located at x=5222, y=3604 with reach=94ft
Router located at x=7481, y=5187 with reach=163ft
Router located at x=3791, y=4511 with reach=98ft
Router located at x=1644, y=5731 with reach=175ft
Router located at x=8825, y=9644 with reach=122ft
Router located at x=3569, y=4681 with reach=191ft
Router located at x=6430, y=1072 with reach=94ft
Router located at x=6153, y=1864 with reach=74ft
Router located at x=8469, y=2268 with reach=167ft
Router located at x=2362, y=6923 with reach=116ft
Router located at x=8784, y=3196 with reach=95ft
Router located at x=1121, y=4342 with reach=162ft
Router located at x=5358, y=6163 with reach=181ft
Router located at x=839, y=5641 with reach=149ft
Router located at x=6290, y=9004 with reach=82ft
Router located at x=8865, y=9326 with reach=88ft
Router located at x=569, y=5003 with reach=163ft
Router located at x=8458, y=9428 with reach=156ft
Router located at x=3442, y=7679 with reach=102ft
Router located at x=6413, y=1437 with reach=74ft
Router located at x=1992, y=8302 with reach=169ft
Router located at x=2751, y=528 with reach=101ft
Router located at x=3817, y=3943 with reach=74ft
Router located at x=9805, y=6192 with reach=154ft
Router located at x=1141, y=8977 with reach=104ft
Router located at x=8612, y=3255 with reach=105ft
Router located at x=8057, y=1488 with reach=99ft
Router located at x=1632, y=8408 with reach=83ft
Router located at x=9892, y=3199 with reach=190ft
Router located at x=9450, y=8516 with reach=160ft
Router located at x=9842, y=6470 with reach=117ft
Router located at x=7722, y=9877 with reach=57ft
Router located at x=5747, y=5658 with reach=102ft
Router located at x=567, y=3237 with reach=162ft
Router located at x=3526, y=8486 with reach=104ft
Router located at x=114, y=2348 with reach=110ft
Router located at x=7434, y=7730 with reach=73ft
Router located at x=9900, y=4523 with reach=124ft
Router located at x=6425, y=5391 with reach=126ft
Router located at x=1452, y=2039 with reach=177ft
Router located at x=6071, y=1447 with reach=108ft
Router located at x=2229, y=6706 with reach=111ft
Router located at x=292, y=7944 with reach=122ft
Router located at x=2358, y=8473 with reach=144ft
Router located at x=2385, y=1896 with reach=180ft
Router located at x=5266, y=5246 with reach=69ft
Router located at x=5889, y=3139 with reach=101ft
Router located at x=4836, y=8543 with reach=158ft
Router located at x=6207, y=6467 with reach=59ft
Router located at x=2338, y=7223 with reach=69ft
Router located at x=4715, y=2540 with reach=184ft
Router located at x=3080, y=9869 with reach=175ft
Router located at x=5733, y=2545 with reach=199ft
Router located at x=2434, y=9381 with reach=159ft
Router located at x=4339, y=3466 with reach=79ft
Router located at x=2585, y=2282 with reach=163ft
Router located at x=8785, y=6943 with reach=95ft
Router located at x=627, y=4896 with reach=170ft
Router located at x=9386, y=1397 with reach=143ft
Router located at x=1614, y=1654 with reach=176ft
Router located at x=4024, y=8526 with reach=60ft
Router located at x=493, y=9655 with reach=72ft
Router located at x=7629, y=4260 with reach=199ft
Router located at x=4208, y=9215 with reach=146ft
Router located at x=2661, y=3892 with reach=81ft
Router located at x=9521, y=8483 with reach=90ft
Router located at x=8137, y=3984 with reach=53ft
Router located at x=3710, y=2351 with reach=86ft
Router located at x=2528, y=9699 with reach=95ft
Router located at x=1112, y=1730 with reach=121ft
Router located at x=1564, y=4416 with reach=169ft
Router located at x=9456, y=4226 with reach=198ft
Router located at x=6878, y=679 with reach=69ft
